TimeStamp,Protocol,LocalAddress,LocalPort,RemoteAddress,RemotePort,State,ProcessName,PID
TimeStamp,Protocol,LocalAddress,LocalPort,RemoteAddress,RemotePort,State,ProcessName,PID
TimeStamp,Protocol,LocalAddress,LocalPort,RemoteAddress,RemotePort,State,ProcessName,PID
2021-03-25T14:26:29.9804170+01:00,TCP,0.0.0.0,135,0.0.0.0,0,LISTENING,svchost,888
2021-03-25T14:26:29.9804170+01:00,TCP,0.0.0.0,445,0.0.0.0,0,LISTENING,System,4
2021-03-25T14:26:29.9804170+01:00,TCP,0.0.0.0,5040,0.0.0.0,0,LISTENING,svchost,724
2021-03-25T14:26:29.9804170+01:00,TCP,0.0.0.0,5357,0.0.0.0,0,LISTENING,System,4
2021-03-25T14:26:29.9804170+01:00,TCP,0.0.0.0,49664,0.0.0.0,0,LISTENING,lsass,660
2021-03-25T14:26:29.9804170+01:00,TCP,0.0.0.0,49665,0.0.0.0,0,LISTENING,wininit,504
2021-03-25T14:26:29.9804170+01:00,TCP,0.0.0.0,49666,0.0.0.0,0,LISTENING,svchost,488
2021-03-25T14:26:29.9804170+01:00,TCP,0.0.0.0,49667,0.0.0.0,0,LISTENING,svchost,1384
2021-03-25T14:26:29.9804170+01:00,TCP,0.0.0.0,49668,0.0.0.0,0,LISTENING,spoolsv,1312
2021-03-25T14:26:29.9804170+01:00,TCP,0.0.0.0,49669,0.0.0.0,0,LISTENING,services,644
2021-03-25T14:26:29.9804170+01:00,TCP,127.0.0.1,49711,0.0.0.0,0,LISTENING,Code,6700
2021-03-25T14:26:29.9804170+01:00,TCP,127.0.0.1,52103,0.0.0.0,0,LISTENING,Code,4752
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,139,0.0.0.0,0,LISTENING,System,4
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52078,40.67.251.132,443,ESTABLISHED,OneDrive,6292
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52092,40.67.251.132,443,ESTABLISHED,svchost,1384
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52321,52.114.159.33,443,TIME_WAIT,Idle,0
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52322,52.114.159.33,443,TIME_WAIT,Idle,0
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52325,168.62.58.130,443,TIME_WAIT,Idle,0
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52352,13.107.21.200,443,ESTABLISHED,SearchApp,4864
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52353,13.69.68.64,443,TIME_WAIT,Idle,0
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52354,13.107.3.254,443,ESTABLISHED,SearchApp,4864
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52355,20.188.40.49,443,ESTABLISHED,SearchApp,4864
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52356,52.113.196.254,443,ESTABLISHED,SearchApp,4864
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52357,204.79.197.222,443,ESTABLISHED,SearchApp,4864
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52358,52.114.159.33,443,TIME_WAIT,Idle,0
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52359,52.114.159.33,443,TIME_WAIT,Idle,0
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52364,52.114.77.34,443,TIME_WAIT,Idle,0
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52369,52.114.77.34,443,TIME_WAIT,Idle,0
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52372,52.114.159.33,443,ESTABLISHED,FileCoAuth,6000
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52373,52.114.159.33,443,ESTABLISHED,FileCoAuth,6000
2021-03-25T14:26:29.9804170+01:00,TCP,172.16.205.7,52374,13.107.43.12,443,ESTABLISHED,OneDrive,6292
2021-03-25T14:26:29.9804170+01:00,UDP,0.0.0.0,3702,*,*,,svchost,2108
2021-03-25T14:26:29.9804170+01:00,UDP,0.0.0.0,3702,*,*,,svchost,2108
